Panel,Staining_panel,Endpoint,Public_source_file,Source_type,Source_PZFX,Source_PZFX_SHA256,Biological_unit,Healthy_n,UC_n,Public_rounding,Statistical_analysis_source,Cross_panel_identity,Cross_endpoint_identity
Figure 7A,GART/MIF/CD74,GART MFI in crypt/mucosal epithelial ROI,data_public/figure_source_data/Figure7/Fig7A_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MIF_CD74.pzfx,13CDE3EB4CE234AFC71CC3D2BB4BE6A2957ECD885D8A1264FC06AD3AA969083C,participant,18,25,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7A,GART/MIF/CD74,CD74+ objects per mm²,data_public/figure_source_data/Figure7/Fig7A_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MIF_CD74.pzfx,13CDE3EB4CE234AFC71CC3D2BB4BE6A2957ECD885D8A1264FC06AD3AA969083C,participant,18,25,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7A,GART/MIF/CD74,MIF-high area within mucosal ROI (%),data_public/figure_source_data/Figure7/Fig7A_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MIF_CD74.pzfx,13CDE3EB4CE234AFC71CC3D2BB4BE6A2957ECD885D8A1264FC06AD3AA969083C,participant,18,25,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7A,GART/MIF/CD74,CD74+ objects within 50 μm of GART+ regions (%),data_public/figure_source_data/Figure7/Fig7A_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MIF_CD74.pzfx,13CDE3EB4CE234AFC71CC3D2BB4BE6A2957ECD885D8A1264FC06AD3AA969083C,participant,18,25,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7B,GART/MYBL2/Ki67,GART MFI in crypt/cellular ROI,data_public/figure_source_data/Figure7/Fig7B_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MYBL2_Ki67.pzfx,575ACB09B9115B63D4FF37258DD66F3B467151D61D61A3C6583A7F2B66D067EC,participant,20,20,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7B,GART/MYBL2/Ki67,MYBL2 nuclear MFI,data_public/figure_source_data/Figure7/Fig7B_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MYBL2_Ki67.pzfx,575ACB09B9115B63D4FF37258DD66F3B467151D61D61A3C6583A7F2B66D067EC,participant,20,20,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7B,GART/MYBL2/Ki67,Ki67⁺ cells (%),data_public/figure_source_data/Figure7/Fig7B_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MYBL2_Ki67.pzfx,575ACB09B9115B63D4FF37258DD66F3B467151D61D61A3C6583A7F2B66D067EC,participant,20,20,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7B,GART/MYBL2/Ki67,GART⁺Ki67⁺ cells (%),data_public/figure_source_data/Figure7/Fig7B_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MYBL2_Ki67.pzfx,575ACB09B9115B63D4FF37258DD66F3B467151D61D61A3C6583A7F2B66D067EC,participant,20,20,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7B,GART/MYBL2/Ki67,GART⁺MYBL2⁺Ki67⁺ cells (%),data_public/figure_source_data/Figure7/Fig7B_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_MYBL2_Ki67.pzfx,575ACB09B9115B63D4FF37258DD66F3B467151D61D61A3C6583A7F2B66D067EC,participant,20,20,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7C,GART/EPCAM/OLFM4,GART MFI in EPCAM⁺ crypt epithelium,data_public/figure_source_data/Figure7/Fig7C_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_EPCAM_OLFM4.pzfx,56CC73D44C9A5045F5CA95EB0BD08545B2474AD9FF282A2B375386DB255B512E,participant,53,42,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7C,GART/EPCAM/OLFM4,OLFM4 MFI in EPCAM⁺ crypt epithelium,data_public/figure_source_data/Figure7/Fig7C_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_EPCAM_OLFM4.pzfx,56CC73D44C9A5045F5CA95EB0BD08545B2474AD9FF282A2B375386DB255B512E,participant,53,42,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7C,GART/EPCAM/OLFM4,GART⁺OLFM4⁺EPCAM⁺ objects per crypt ROI,data_public/figure_source_data/Figure7/Fig7C_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_EPCAM_OLFM4.pzfx,56CC73D44C9A5045F5CA95EB0BD08545B2474AD9FF282A2B375386DB255B512E,participant,53,42,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
Figure 7C,GART/EPCAM/OLFM4,GART⁺OLFM4⁺ double-positive area among EPCAM⁺ epithelium (%),data_public/figure_source_data/Figure7/Fig7C_participant_level_source_data.csv,Original GraphPad Prism PZFX,Human_GART_EPCAM_OLFM4.pzfx,56CC73D44C9A5045F5CA95EB0BD08545B2474AD9FF282A2B375386DB255B512E,participant,53,42,2 decimal places,original unrounded archived values,Not inferred,Not recoverable from PZFX; endpoint-specific observation IDs
